approach,capture_index,frame_sequence,timestamp_ns,state,source,confidence,box_norm,tracker_quality,note
baseline,1,433,12525188084513,Tracked,recorded EfficientDet-Lite2,0.812500,"[0.228125,0.2,0.55625,0.9625]",,Matched
baseline,2,434,12525419365930,Tracked,recorded EfficientDet-Lite2,0.824219,"[0.21875,0.2,0.546875,0.9625]",,Matched
baseline,3,435,12525554171263,Tracked,recorded EfficientDet-Lite2,0.824219,"[0.21875,0.1875,0.546875,0.95]",,Matched
baseline,4,436,12525687352013,Tracked,recorded EfficientDet-Lite2,0.812500,"[0.21875,0.19583334,0.546875,0.975]",,Matched
baseline,5,437,12525822375596,Tracked,recorded EfficientDet-Lite2,0.812500,"[0.21875,0.2,0.546875,0.9625]",,Matched
baseline,6,438,12525956596972,Tracked,recorded EfficientDet-Lite2,0.812500,"[0.21875,0.19583334,0.546875,0.975]",,Matched
baseline,7,440,12526228069638,Tracked,recorded EfficientDet-Lite2,0.726562,"[0.253125,0.15,0.540625,0.9583333]",,Matched
baseline,8,441,12526355752222,Tracked,recorded EfficientDet-Lite2,0.640625,"[0.2625,0.12083333,0.55,0.9583333]",,Matched
baseline,9,442,12526523208722,Missing,none,,,,TemporarilyMissing
baseline,10,443,12526661348389,Missing,none,,,,TemporarilyMissing
baseline,11,444,12526789218055,Missing,none,,,,TemporarilyMissing
baseline,12,445,12526925578722,Missing,none,,,,TemporarilyMissing
baseline,13,447,12527189398764,Missing,none,,,,TemporarilyMissing
baseline,14,448,12527320513055,Missing,none,,,,TemporarilyMissing
baseline,15,449,12527522316806,Lost,none,,,,Lost
baseline,16,450,12527658504931,Lost,none,,,,Lost
baseline,17,451,12527798973431,Lost,none,,,,Lost
baseline,18,453,12528089910639,Lost,none,,,,Lost
baseline,19,454,12528228203848,Lost,none,,,,Lost
baseline,20,455,12528357245806,Lost,none,,,,Lost
baseline,21,456,12528521323931,Lost,none,,,,Lost
baseline,22,457,12528655547556,Lost,none,,,,Lost
baseline,23,458,12528789712223,Lost,none,,,,Lost
baseline,24,459,12528921197515,Lost,none,,,,Lost
baseline,25,460,12529055570306,Lost,none,,,,Lost
baseline,26,461,12529189563223,Lost,none,,,,Lost
baseline,27,462,12529321656056,Lost,none,,,,Lost
baseline,28,463,12529497385807,Lost,none,,,,Lost
baseline,29,464,12529652866515,Lost,none,,,,Lost
baseline,30,465,12529788431265,Lost,none,,,,Lost
baseline,31,467,12530053902307,Lost,none,,,,Lost
baseline,32,468,12530186161265,Lost,none,,,,Lost
baseline,33,469,12530322509515,Lost,none,,,,Lost
baseline,34,470,12530452977140,Lost,none,,,,Lost
baseline,35,471,12530588443057,Lost,none,,,,Lost
baseline,36,472,12530722004807,Lost,none,,,,Lost
baseline,37,473,12530858062807,Lost,none,,,,Lost
baseline,38,474,12530987213474,Lost,none,,,,Lost
baseline,39,476,12531286294474,Lost,none,,,,Lost
baseline,40,477,12531464862474,Lost,none,,,,Lost
baseline,41,478,12531610996766,Lost,none,,,,Lost
baseline,42,479,12531754464558,Lost,none,,,,Lost
baseline,43,480,12531888719724,Lost,none,,,,Lost
baseline,44,481,12532052668058,Lost,none,,,,Lost
baseline,45,482,12532189847433,Lost,none,,,,Lost
baseline,46,483,12532402721475,Lost,none,,,,Lost
baseline,47,484,12532554977225,Lost,none,,,,Lost
baseline,48,485,12532688432308,Lost,none,,,,Lost
baseline,49,486,12532863942891,Lost,none,,,,Lost
baseline,50,487,12532989625517,Lost,none,,,,Lost
baseline,51,488,12533124220975,Lost,none,,,,Lost
baseline,52,490,12533424401308,Lost,none,,,,Lost
baseline,53,491,12533561324017,Lost,none,,,,Lost
baseline,54,493,12533825746934,Lost,none,,,,Lost
baseline,55,494,12533956733184,Lost,none,,,,Lost
baseline,56,495,12534089324309,Lost,none,,,,Lost
baseline,57,496,12534230096434,Lost,none,,,,Lost
baseline,58,497,12534421573101,Lost,none,,,,Lost
baseline,59,499,12534691036059,Lost,none,,,,Lost
baseline,60,501,12534954324059,Lost,none,,,,Lost
baseline,61,502,12535098349476,Lost,none,,,,Lost
baseline,62,503,12535258796559,Lost,none,,,,Lost
baseline,63,504,12535479391059,Lost,none,,,,Lost
baseline,64,505,12535625805893,Lost,none,,,,Lost
baseline,65,507,12535890157143,Lost,none,,,,Lost
baseline,66,508,12536023323601,Lost,none,,,,Lost
baseline,67,509,12536164319976,Lost,none,,,,Lost
baseline,68,510,12536328563476,Lost,none,,,,Lost
baseline,69,511,12536512245310,Lost,none,,,,Lost
baseline,70,513,12536786634560,Lost,none,,,,Lost
baseline,71,514,12536921950768,Lost,none,,,,Lost
baseline,72,515,12537054685727,Lost,none,,,,Lost
baseline,73,516,12537187383185,Lost,none,,,,Lost
baseline,74,517,12537323447352,Lost,none,,,,Lost
baseline,75,518,12537457164394,Lost,none,,,,Lost
baseline,76,520,12537723490019,Lost,none,,,,Lost
baseline,77,522,12537988709436,Lost,none,,,,Lost
baseline,78,523,12538126621686,Lost,none,,,,Lost
baseline,79,524,12538424167602,Lost,none,,,,Lost
baseline,80,525,12538556571894,Lost,none,,,,Lost
baseline,81,526,12538686842853,Lost,none,,,,Lost
baseline,82,527,12538823257686,Lost,none,,,,Lost
baseline,83,528,12538954317978,Lost,none,,,,Lost
baseline,84,529,12539091394769,Lost,none,,,,Lost
baseline,85,530,12539231408895,Lost,none,,,,Lost
yolo11n_detector,1,433,12525188084513,Tracked,detector,0.892628,"[0.2329498291015625,0.20428543090820311,0.5461554527282715,0.9885786692301433]",,identity-safe detector correction
yolo11n_detector,2,434,12525419365930,Tracked,detector,0.879998,"[0.23250751495361327,0.2048911412556966,0.5433562278747559,0.9894997278849283]",,identity-safe detector correction
yolo11n_detector,3,435,12525554171263,Tracked,detector,0.882951,"[0.23229212760925294,0.20196803410847983,0.5340567588806152,0.9895926157633463]",,identity-safe detector correction
yolo11n_detector,4,436,12525687352013,Tracked,detector,0.882588,"[0.23196778297424317,0.2013737360636393,0.5363770008087159,0.9896509170532226]",,identity-safe detector correction
yolo11n_detector,5,437,12525822375596,Tracked,detector,0.885418,"[0.2333906650543213,0.2026641845703125,0.5411064624786377,0.988925552368164]",,identity-safe detector correction
yolo11n_detector,6,438,12525956596972,Tracked,detector,0.883157,"[0.23252229690551757,0.2006631851196289,0.5423039436340332,0.9851037979125976]",,identity-safe detector correction
yolo11n_detector,7,440,12526228069638,Tracked,detector,0.908442,"[0.2529332637786865,0.15160287221272786,0.5298576354980469,0.9895421981811523]",,identity-safe detector correction
yolo11n_detector,8,441,12526355752222,Tracked,detector,0.901970,"[0.26535816192626954,0.13437817891438802,0.5292719841003418,0.9927716573079427]",,identity-safe detector correction
yolo11n_detector,9,442,12526523208722,Tracked,detector,0.906229,"[0.2778592348098755,0.1154393196105957,0.5328286170959473,0.9892923990885417]",,identity-safe detector correction
yolo11n_detector,10,443,12526661348389,Tracked,detector,0.903278,"[0.30741868019104,0.08445555369059245,0.5374550342559814,0.9866740544637044]",,identity-safe detector correction
yolo11n_detector,11,444,12526789218055,Tracked,detector,0.895586,"[0.3243190050125122,0.07711289723714193,0.5411063194274902,0.9884687423706054]",,identity-safe detector correction
yolo11n_detector,12,445,12526925578722,Tracked,detector,0.886539,"[0.3340289115905762,0.07087459564208984,0.5446060180664063,0.9916879653930664]",,identity-safe detector correction
yolo11n_detector,13,447,12527189398764,Tracked,detector,0.885798,"[0.35172486305236816,0.06458816528320313,0.5514415264129638,0.9909066518147787]",,identity-safe detector correction
yolo11n_detector,14,448,12527320513055,Tracked,detector,0.879212,"[0.35415961742401125,0.06547339757283528,0.552817440032959,0.9921414693196614]",,identity-safe detector correction
