candidate,video,visible_target_frames,identity_safe_tracked_frames,identity_switch_events,wrong_person_frames,false_tracked_while_target_invisible,identity_safe_continuity_percent,lost_visible_frames,missing_visible_frames,mean_iou_when_tracked
safe_baseline,single_person,104,59,0,0,0,56.731,41,4,0.914
safe_baseline,multi_person,35,35,0,0,0,100.0,0,0,0.8453
safe_baseline,courtyard_single_a,147,146,0,0,0,99.32,0,1,0.9253
safe_baseline,courtyard_single_b,155,155,0,0,0,100.0,0,0,0.9479
safe_baseline,courtyard_competitor,140,98,0,0,0,70.0,35,7,0.9202
safe_baseline,AGGREGATE,581,493,0,0,0,84.854,76,12,0.9243
lighttrack_mobile,single_person,104,61,0,0,0,58.654,28,15,0.846
lighttrack_mobile,multi_person,35,27,0,0,0,77.143,0,8,0.7106
lighttrack_mobile,courtyard_single_a,147,65,0,0,0,44.218,63,19,0.8398
lighttrack_mobile,courtyard_single_b,155,124,0,0,0,80.0,26,5,0.885
lighttrack_mobile,courtyard_competitor,140,97,0,0,0,69.286,14,29,0.8153
lighttrack_mobile,AGGREGATE,581,374,0,0,0,64.372,131,76,0.8401
nanotrack_v3,single_person,104,97,1,1,4,93.269,0,6,0.7587
nanotrack_v3,multi_person,35,26,0,0,0,74.286,0,9,0.7361
nanotrack_v3,courtyard_single_a,147,145,0,0,0,98.639,0,2,0.7705
nanotrack_v3,courtyard_single_b,155,155,0,0,0,100.0,0,0,0.8296
nanotrack_v3,courtyard_competitor,140,68,1,22,0,48.571,17,33,0.5583
nanotrack_v3,AGGREGATE,581,491,2,23,4,84.509,17,50,0.7472
