video,canonical_index,timestamp_s,target_visible,state,reasons,confidence,peak_margin,template_similarity,center_step,frame_scale,original_scale,aspect_change,eligible_detections,matching_detections,detector_misses,raw_sot_box,matched_detector_box,output_box
courtyard_competitor,91,18.217981,True,Tracked,[],0.999946,0.788068,0.963183,0.012662,1.036916,1.036916,1.021659,2,1,0,"{""x1"": 531.5645685711855, ""y1"": 36.26764126523321, ""x2"": 670.9557982771256, ""y2"": 428.20581865950794}","{""x1"": 529.689697265625, ""y1"": 33.934234619140625, ""x2"": 663.695068359375, ""y2"": 435.2626037597656}","{""x1"": 531.5645685711855, ""y1"": 36.26764126523321, ""x2"": 670.9557982771256, ""y2"": 428.20581865950794}"
courtyard_competitor,92,18.381005,True,Missing,"[""competitor overlap uncertainty""]",0.999106,0.159477,0.909026,0.0624,1.004767,1.041859,1.130889,2,1,0,"{""x1"": 443.533125249182, ""y1"": 26.034116902457868, ""x2"": 575.7070659232003, ""y2"": 437.4129987584413}","{""x1"": 432.62347412109375, ""y1"": 30.492279052734375, ""x2"": 574.4240112304688, ""y2"": 449.0716247558594}",null
courtyard_competitor,93,18.584786,True,Tracked,[],0.99977,0.762812,0.947564,0.009982,1.034495,1.007119,1.136361,2,1,0,"{""x1"": 428.67887034142814, ""y1"": 26.708461460546005, ""x2"": 562.7890909051999, ""y2"": 446.1334205588362}","{""x1"": 421.34832763671875, ""y1"": 24.757476806640625, ""x2"": 565.61279296875, ""y2"": 451.7308044433594}","{""x1"": 428.67887034142814, ""y1"": 26.708461460546005, ""x2"": 562.7890909051999, ""y2"": 446.1334205588362}"
courtyard_competitor,94,18.788566,True,Tracked,[],0.999759,0.083078,0.927071,0.047355,1.072862,1.065278,1.110618,2,1,0,"{""x1"": 358.8883782950304, ""y1"": 41.73794328861487, ""x2"": 499.3991316485992, ""y2"": 471.22521229165994}","{""x1"": 354.6612548828125, ""y1"": 35.81591796875, ""x2"": 506.9439697265625, ""y2"": 487.00152587890625}","{""x1"": 358.8883782950304, ""y1"": 41.73794328861487, ""x2"": 499.3991316485992, ""y2"": 471.22521229165994}"
courtyard_competitor,95,18.992347,True,Tracked,[],0.9998,0.763561,0.904621,0.004838,1.042392,1.110438,1.132091,2,1,0,"{""x1"": 354.2951425431269, ""y1"": 29.12297662376892, ""x2"": 496.38616922736935, ""y2"": 471.83797680939074}","{""x1"": 344.11883544921875, ""y1"": 41.98077392578125, ""x2"": 492.21661376953125, ""y2"": 490.31707763671875}","{""x1"": 354.2951425431269, ""y1"": 29.12297662376892, ""x2"": 496.38616922736935, ""y2"": 471.83797680939074}"
courtyard_competitor,96,19.196127,True,Tracked,[],0.999764,0.217296,0.906181,0.044768,1.066719,1.184525,1.108059,2,1,0,"{""x1"": 316.6362910327398, ""y1"": 80.24329531377566, ""x2"": 464.9738018124916, ""y2"": 532.6094111050201}","{""x1"": 299.32073974609375, ""y1"": 33.84619140625, ""x2"": 472.65081787109375, ""y2"": 542.031982421875}","{""x1"": 316.6362910327398, ""y1"": 80.24329531377566, ""x2"": 464.9738018124916, ""y2"": 532.6094111050201}"
courtyard_competitor,97,19.399908,True,Tracked,[],0.999918,0.685293,0.910524,0.041073,1.043244,1.135425,1.142434,2,1,0,"{""x1"": 356.07538683329307, ""y1"": 33.76624179500135, ""x2"": 499.10436280499636, ""y2"": 483.4749628552474}","{""x1"": 344.11883544921875, ""y1"": 41.98077392578125, ""x2"": 492.21661376953125, ""y2"": 490.31707763671875}","{""x1"": 356.07538683329307, ""y1"": 33.76624179500135, ""x2"": 499.10436280499636, ""y2"": 483.4749628552474}"
courtyard_competitor,98,19.603688,True,Tracked,[],0.999809,0.461927,0.907668,0.039154,1.055574,1.198526,1.126829,2,1,0,"{""x1"": 318.55047313179887, ""y1"": 74.76513032503692, ""x2"": 466.5140933747532, ""y2"": 533.6345571365396}","{""x1"": 299.32073974609375, ""y1"": 33.84619140625, ""x2"": 472.65081787109375, ""y2"": 542.031982421875}","{""x1"": 318.55047313179887, ""y1"": 74.76513032503692, ""x2"": 466.5140933747532, ""y2"": 533.6345571365396}"
courtyard_competitor,99,19.807469,True,Tracked,[],0.999649,0.678232,0.912737,0.004755,1.059862,1.270272,1.167174,2,1,0,"{""x1"": 317.6539561074628, ""y1"": 70.79016885858783, ""x2"": 467.326011741201, ""y2"": 551.5770979521378}","{""x1"": 309.0205078125, ""y1"": 40.68536376953125, ""x2"": 474.14324951171875, ""y2"": 573.7361450195312}","{""x1"": 317.6539561074628, ""y1"": 70.79016885858783, ""x2"": 467.326011741201, ""y2"": 551.5770979521378}"
courtyard_competitor,100,20.011249,True,Tracked,[],0.999831,0.738965,0.902943,0.016269,1.041238,1.322655,1.249059,2,1,0,"{""x1"": 335.76961937065454, ""y1"": 40.734425888016006, ""x2"": 483.4055698978321, ""y2"": 548.2522804482421}","{""x1"": 319.5843505859375, ""y1"": 44.26220703125, ""x2"": 478.6090087890625, ""y2"": 578.355224609375}","{""x1"": 335.76961937065454, ""y1"": 40.734425888016006, ""x2"": 483.4055698978321, ""y2"": 548.2522804482421}"
